Distancia
184.294
184.13
184.23
183.424
184.501
183.642
185.322
184.868
184.68
185.412
184.465
184.792
183.13
185.329
184.335
185.824
184.851
184.71
184.227
183.964
184.356
184.443
184.36
185.486
184.222
183.904
184.24
185.122
183.737
185.141
184.296
185.258
184.614
184.259
185.733
184.347
184.841
183.946
183.823
184.956
183.367
184.685
184.065
184.601
184.504
184.323
184.032
185.252
184.933
184.183
184.69
184.497
182.79
184.302
183.41
183.835
185.129
185.8
182.95
182.739
184.356
184.224
184.681
184.259
184.517
183.078
184.044
183.875
184.72
183.914
184.723
184.052
184.906
184.508
182.92
183.822
183.798
183.629
184.899
182.98
185.068
183.393
184.297
182.969
184.654
183.479
184.402
183.878
184.624
185.052
185.1
184.844
183.937
183.537
184.573
183.942
185.001
184.245
183.825
184.19
184.412
183.771
184.721
184.579
184.149
183.584
184.805
184.166
184.288
183.317
184.549
184.587
184.04
182.964
184.596
184.819
183.817
184.555
183.938
184.674
183.549
184.466
183.939
184.927
183.216
184.625
184.778
184.604
183.973
184.072
184.335
184.617
184.567
182.826
183.778
183.743
184.655
184.58
184.119
183.378
183.861
184.141
183.877
184.54
184.738
184.361
184.116
184.966
185.052
183.669
184.334
183.989
183.665
183.009
184.823
183.226
185.095
183.917
184.13
184.404
183.771
184.731
184.535
185.433
184.034
184.171
183.958
183.537
183.936
184.195
184.414
183.852
184.916
185.092
183.069
184.913
183.727
184.127
184.526
185.746
184.176
184.948
184.171
183.91
183.515
184.042
183.709
184.061
184.64
185.71
183.764
183.844
184.704
184.911
183.991
183.713
183.994
185.016
184.79
183.877
184.516
183.527
184.298
184.206
183.665
182.574
184.08
183.493
184.259
185.694
184.223
184.606
184.944
184.534
184.66
184.442
183.94
184.799
183.987
184.486
184.405
185.082
183.709
184.287
184.071
183.873
184.745
184.593
184.671
184.111
184.963
183.728
184.254
184.1
183.787
184.561
184.017
184.045
184.973
184.899
182.532
184.866
184.028
184.54
183.752
185.07
185.141
184.438
184.229
184.365
184.608
183.867
184.574
184.439
185.405
184.803
185.16
183.485
183.938
184.612
184.739
183.431
184.65
183.608
184.237
183.569
185.291
184.7
184.148
183.554
184.03
185.503
184.666
184.806
184.12
184.132
183.61
184.157
184.364
183.824
183.907
184.173
184.17
185.239
184.381
183.113
184.827
183.626
184.655
183.64
183.659
184.413
184.468
184.721
183.583
184.278
183.747
184.519
184.931
184.536
185.211
182.683
184.041
184.933
184.439
183.556
183.311
184.475
183.651
185.166
184.109
183.754
184.617
183.959
185.378
183.626
184.691
183.672
183.382
184.238
183.012
184.882
184.734
183.744
184.332
185.228
183.389
184.95
184.219
183.306
184.58
184.71
183.9
184.202
184.505
184.262
184.148
183.479
183.275
182.774
183.459
183.873
183.742
184.622
184.933
184.394
183.684
183.257
184.041
184.147
184.808
185.351
184.423
184.274
183.437
185.306
184.884
183.909
184.428
184.635
184.571
185.327
185.148
184.328
184.269
184.253
184.985
183.88
183.519
185.214
184.418
182.91
183.431
184.05
184.187
184.063
185.239
183.443
184.53
183.838
184.706
184.471
184.235
184.508
183.259
183.868
184.225
184.201
184.118
183.881
184.748
184.47
183.507
185.232
184.083
183.974
183.797
184.329
184.066
184.61
183.862
183.949
184.658
183.302
183.374
183.588
184.448
184.506
184.514
185.007
184.852
184.476
184.185
183.479
183.339
184.452
183.449
183.953
183.994
184.016
184.64
185.503
183.752
183.498
183.488
184.428
184.473
184.823
182.656
184.449
184.87
183.703
184.279
183.732
183.167
183.733
184.34
183.987
184.733
184.139
184.531
183.933
184.015
184.679
183.423
184.163
185.139
184.419
184.388
184.42
184.369
183.323
184.812
183.712
184.583
184.016
185.399
184.336
183.938
183.982
184.465
183.698
184.485
182.948
185.073
184.951
183.217
183.659
185.025
183.812
183.852
183.585
184.373
184.912
183.103
184.222
184.116
183.819
185.298
184.54
184.468
184.255
183.249
184.532
184.247
183.551
184.835
184.043
184.614
183.666
184.427
184.933
184.332
185.085
185.366
184.059
184.815
184.017
184.325
184.657
184.456
184.552
185.115
184.263
184.674
184.361
185.147
183.719
184.818
184.449
184.301
184.921
184.141
184.546
185.16
183.841
183.652
183.728
185.607
183.975
184.351
184.054
185.074
182.696
183.811
185.247
184.449
185.221
183.722
184.812
183.367
185.076
184.536
183.946
185.776
184.576
184.289
185.25
184.605
183.845
184.048
183.525
184.199
184.639
184.417
184.344
184.393
183.07
184.116
184.055
183.592
184.918
183.903
184.313
183.484
184.606
184.33
185.17
184.485
183.357
183.721
184.808
183.9
184.948
184.262
184.607
183.895
183.774
182.838
184.417
183.844
184.768
183.688
184.629
184.307
184.408
183.953
183.68
184.922
183.413
183.331
184.945
183.487
185.178
184.431
184.657
185.132
184.686
184.693
184.508
183.698
184.026
184.821
182.885
183.844
185.227
183.929
184.115
184.684
184.293
184.051
184.2
183.991
183.599
184.344
184.56
183.564
184.093
184.547
184.894
183.856
183.989
184.405
184.09
184.053
183.45
184.816
184.355
184.217
183.526
183.766
184.224
183.503
184.347
183.873
184.455
183.464
183.621
184.645
185.137
184.723
184.879
183.974
183.782
183.154
184.854
182.74
184.283
184.8
183.866
184.711
183.716
185.399
184.836
183.263
185.339
184.997
183.906
183.919
183.654
183.69
184.053
183.837
183.054
185.159
184.189
184.556
185.158
185.154
185.073
184.556
183.367
183.918
184.345
184
183.289
183.94
184.357
183.984
185.301
183.784
183.688
184.564
183.825
184.285
185.072
183.972
183.791
184.302
184.285
184.244
184.717
183.576
183.783
183.328
184.051
184.51
184.087
185.059
183.873
183.192
184.365
184.423
183.953
183.834
184.282
184.75
184.345
185.215
183.95
183.904
183.38
184.055
183.379
185.605
184.991
183.634
183.079
184.556
184.3
183.103
184.631
184.599
184.391
185.033
184.217
184.245
184.437
183.606
184.918
183.946
183.847
184.744
183.688
183.622
185.085
184.883
184.344
184.664
185.384
183.95
183.733
182.666
184.454
184.448
183.748
184.736
183.356
184.36
184.49
184.329
184.531
183.622
184.256
184.633
184.248
183.822
184.252
182.871
184.183
183.631
183.096
184.976
185.68
184.682
183.726
184.926
184.323
184.157
183.654
183.627
183.32
